"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","reportingStatus","iNatObservationStatus","firstReported","firstReportedBy","Collection.List","firstReportedCollectionNumber","firstReportedGBIF","firstObservediNat","firstObservedBy","firstObservedID","notes","ID","statsCode"
"Acarnus erithacus","Laubenfels, 1927","","thick encrusting scarlet sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Acarnidae","","","Acarnus","erithacus",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2008-08-29","Andy Lamb","PMLS","",NA,"","","","",63669,"POR"
"Amphilectus digitatus","(Miklucho-Maclay, 1870)","","glove sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Esperiopsidae","","","Amphilectus","digitatus",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1981-05-31","Andy Lamb","PMLS","",NA,"","","","",459874,"POR"
"Antho (Plocamia) karykina","(Laubenfels, 1927)","","bright red sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Microcionidae","","","Antho","karykina",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1985-08-02","Andy Lamb","PMLS","",NA,"","","","reported as Plocamia karykina",345142,"POR"
"Aphrocallistes vastus","Schulze, 1886","","cloud sponge","Animalia","Porifera","","","Hexactinellida ","Hexasterophora","","Sceptrulophora ","","","Aphrocallistidae ","","","Aphrocallistes","vastus",NA,"",NA,"native","unlisted",NA,"confirmed","observed","2011-10-30","Jackson W.F. Chu","RBCM","016-00066-001",NA,"2007-10-23","Jackson W.F. Chu","iNat:8459011","",424651,"POR"
"Aplysilla polyraphis","Laubenfels, 1930","","slippery purple sponge","Animalia","Porifera","","","Demospongiae","Keratosa","","Dendroceratida","","","Darwinellidae","","","Aplysilla","polyraphis",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2008-11-12","Andy Lamb","PMLS","",NA,"","","","",216652,"POR"
"Aplysilla sp.","","","slippery rose sponge","Animalia","Porifera","","","Demospongiae","Keratosa","","Dendroceratida","","","Darwinellidae","","","Aplysilla","",NA,"",NA,"","",NA,"reported","unobserved","1985-12-07","Andy Lamb","PMLS","",NA,"","","","undescribed species",63646,"POR"
"Clathria (Microciona) pennata","(Lambe, 1895)","","red velvety sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Microcionidae","","","Clathria","pennata",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1971-08-21","Andy Lamb","PMLS","",NA,"","","","",63672,"POR"
"Clathrina sp.","","","lattice-skin sponge","Animalia","Porifera","","","Calcarea","Calcinea","","Clathrinida","","","Clathrinidae","","","Clathrina","",NA,"",NA,"","",NA,"reported","unobserved","2017-06-30","Andy Lamb","PMLS","",NA,"","","","",122021,"POR"
"Cliona californiana","Laubenfels, 1932","","yellow boring sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Clionaida","","","Clionaidae","","","Cliona","californiana",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1973-09-20","Andy Lamb","PMLS","",NA,"2021-03-07","Dave ""Zeuss"" Cochrane","iNat:70790700","",424811,"POR"
"Craniella villosa","Lambe, 1893","","tennis ball sponge","Animalia","Porifera","","","Demospongiae","Tetractinomorpha","","Spirophorida","","","Tetillidae","","","Craniella","villosa",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1985-08-02","Andy Lamb","PMLS","",NA,"2013-10-13","Peter Luckham","iNat:2975867","",459732,"POR"
"Desmacella austini","Lehnert, Conway, Barrie & Krautter, 2005","","thin encrusting Desmacella","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Desmacellida","","","Desmacellidae","","","Desmacella","austini",NA,"",NA,"native","unlisted",NA,"new 2007","observed","","","","",NA,"2007-10-23","Jackson W.F. Chu","iNat:59908535","",459736,"POR"
"Halichondria (Eumastia) sitiens","(Schmidt, 1870)","","breast sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Suberitida","","","Halichondriidae","","","Halichondria","sitiens",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2007-12-15","Andy Lamb","PMLS","",NA,"","","","",459775,"POR"
"Halichondria (Halichondria) bowerbanki","Burton, 1930","","Bowerbank's crumb of bread sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Suberitida","","","Halichondriidae","","","Halichondria","bowerbanki",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1973-09-20","Andy Lamb","PMLS","",NA,"","","","",120498,"POR"
"Halichondria (Halichondria) panicea","(Pallas, 1766)","","yellow-green encrusting sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Suberitida","","","Halichondriidae","","","Halichondria","panicea",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1968-08-02","Andy Lamb","PMLS","",NA,"","","","",186854,"POR"
"Haliclona (Haliclona) sp.1","","","gnarled finger sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Haplosclerida","","","Chalinidae","","","Haliclona","",NA,"",NA,"","",NA,"reported","unobserved","2006-11-11","Andy Lamb","PMLS","",NA,"","","","undescribed species",129864,"POR"
"Haliclona (Haliclona) sp.2","","","gnarled finger sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Haplosclerida","","","Chalinidae","","","Haliclona","",NA,"",NA,"","",NA,"reported","unobserved","1994-09-10","Andy Lamb","PMLS","",NA,"","","","undescribed species",129864,"POR"
"Hamigera sp.","","","orange cratered encrusting sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Hymedesmiidae","","","Hamigera","",NA,"",NA,"","",NA,"reported","unobserved","1985-08-02","Andy Lamb","PMLS","",NA,"","","","",342247,"POR"
"Heterochone calyx","(Schulze, 1886)","","fingered goblet sponge","Animalia","Porifera","","","Hexactinellida ","Hexasterophora","","Sceptrulophora ","","","Aphrocallistidae","","","Heterochone","calyx",NA,"",NA,"native","unlisted",NA,"confirmed","observed","2012","Jackson W.F. Chu","Chu (2012)","",NA,"2009-10-03","Jackson W.F. Chu","iNat:144497905","",424648,"POR"
"Homaxinella amphispicula","(Laubenfels, 1961)","","tough yellow branching sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Suberitida","","","Suberitidae","","","Homaxinella","amphispicula",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1999-05-04","Andy Lamb","PMLS","",NA,"","","","misspelled Hamaxinella amphispicula",459847,"POR"
"Iophon lamella","Wilson, 1904","","white reticulated sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Acarnidae","","","Iophon","lamella",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1973-09-20","Andy Lamb","PMLS","",NA,"","","","",196333,"POR"
"Isodictya rigida","(Lambe, 1893)","","orange finger sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Esperiopsidae","","","Isodictya","rigida",NA,"",NA,"","",NA,"reported","unobserved","1960-12-22","W. Clemens","RBCM","981-00064-001",1898268969,"","","","reported as Amphilectus rigida (GBIF); as Neoesperiopsis rigida (RBCM)",459878,"POR"
"Leucandra heathi","Urban, 1906","","bristly vase sponge","Animalia","Porifera","","","Calcarea","Calcaronea","","Leucosolenida","","","Grantiidae","","","Leucandra","heathi",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1971-08-21","Andy Lamb","PMLS","",NA,"","","","",345357,"POR"
"Leucilla nuttingi","(Urban, 1902)","","stalked vase sponge","Animalia","Porifera","","","Calcarea","Calcaronea","","Leucosolenida","","","Amphoriscidae","","","Leucilla","nuttingi",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1985-07-29","Andy Lamb","PMLS","",NA,"2013-10-13","Peter Luckham","iNat:2975914","",117713,"POR"
"Leucosolenia eleanor","Urban, 1906","","spaghetti sponge","Animalia","Porifera","","","Calcarea","Calcaronea","","Leucosolenida","","","Leucosoleniidae","","","Leucosolenia","eleanor",NA,"",NA,"native","unlisted",NA,"confirmed","observed","2006-06-23","Andy Lamb","PMLS","",NA,"2023-05-28","Dave ""Zeuss"" Cochrane","iNat:164555199","",424817,"POR"
"Leucosolenia nautilia","Laubenfels, 1930","","lacy ball sponge","Animalia","Porifera","","","Calcarea","Calcaronea","","Leucosolenida","","","Leucosoleniidae","","","Leucosolenia","nautilia",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1994-09-10","Andy Lamb","PMLS","",NA,"2023-07-16","Dave ""Zeuss"" Cochrane","iNat:173366513","",347319,"POR"
"Mycale (Aegogropila) adhaerens","(Lambe, 1893)","","smooth scallop sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Mycalidae","","","Mycale","adhaerens",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1999-07-31","Charlie Gibbs","PMLS","",NA,"","","","",256010,"POR"
"Myxilla (Myxilla) incrustans","(Johnston, 1842)","","rough scallop sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Myxillidae","","","Myxilla","incrustans",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1973-06-14","Philip Lambert","RBCM","973-00137-003",1898298302,"1978-02-19","Neil McDaniel","iNat:170665045","",256019,"POR"
"Myxilla (Myxilla) lacunosa","Lambe, 1893","","sulphur sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Myxillidae","","","Myxilla","lacunosa",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1973-09-20","Andy Lamb","PMLS","",NA,"","","","",459826,"POR"
"Pachychalina sp.","","","thick-strap sponges","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Haplosclerida","","","Niphatidae","","","Pachychalina","",NA,"",NA,"","",NA,"reported","unobserved","1985-08-02","Andy Lamb","PMLS","",NA,"","","","",873877,"POR"
"Pleraplysilla sp.","","","slippery white sponge","Animalia","Porifera","","","Demospongiae","Keratosa","","Dictyoceratida","","","Dysideidae","","","Pleraplysilla","",NA,"",NA,"","",NA,"reported","unobserved","2006-09-29","Andy Lamb","PMLS","",NA,"","","","undescribed species",623055,"POR"
"Polymastia pachymastia","Laubenfels, 1932","","aggregated nipple sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Hadromerida","","","Polymastiidae","","","Polymastia","pachymastia",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1994-10-07","Andy Lamb","PMLS","",NA,"2016-02-07","Peter Luckham","iNat:2763468","",117717,"POR"
"Rhabdocalyptus dawsoni","(Lambe, 1893)","","boot sponge","Animalia","Porifera","","","Hexactinellida ","Hexasterophora","","Lyssacinosida","","","Rossellidae","Acanthascinae","","Rhabdocalyptus","dawsoni",NA,"",NA,"native","unlisted",NA,"confirmed","observed","2008-05-22","Jackson W.F. Chu","Chu (2010)","",NA,"2007-10-23","Jackson W.F. Chu","iNat:59908562","",459736,"POR"
"Semisuberites cribrosa","(Miklucho-Maclay, 1870)","","funnel sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Esperiopsidae","","","Semisuberites","cribrosa",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1985-08-02","Andy Lamb","PMLS","",NA,"","","","",194571,"POR"
"Suberites concinnus","Lambe, 1895","","peach ball sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Suberitida","","","Suberitidae","","","Suberites","concinnus",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1985-08-02","Andy Lamb","PMLS","",NA,"","","","",873889,"POR"
"Suberites latus","Lambe, 1893","","hermit crab sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Suberitida","","","Suberitidae","","","Suberites","latus",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2007-12-29","Andy Lamb","PMLS","",NA,"","","","",473057,"POR"
"Sycon sp.","","","tiny vase sponge","Animalia","Porifera","","","Calcarea","Calcaronea","","Leucosolenida","","","Sycettidae","","","Sycon","",NA,"",NA,"","",NA,"reported","unobserved","1994-10-07","Andy Lamb","PMLS","",NA,"","","","",347738,"POR"
"Tethya californiana","Laubenfels, 1932","","orange rough ball sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Tethyida","","","Tethyidae","","","Tethya","californiana",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1981-05-31","Andy Lamb","PMLS","",NA,"","","","",127233,"POR"
"Tetilla sp.","","","","Animalia","Porifera","","","Demospongiae","Tetractinomorpha","","Spirophorida","","","Tetillidae","","","Tetilla","",NA,"",NA,"","",NA,"reported","unobserved","2008-05-21","Jackson W.F. Chu","Chu (2010)","",NA,"","","","",247194,"POR"
"Weberella perlucida","Austin, Ott, Reiswig, Romagosa & McDaniel, 2014","","retractable nipple sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Polymastiida","","","Polymastiidae","","","Weberella","perlucida",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2007-10-21","Andy Lamb","PMLS","",NA,"","","","",424640,"POR"
"Xestospongia hispida","(Ridley & Dendy, 1886)","","hard gnarled clump sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Haplosclerida","","","Petrosiidae","","","Xestospongia","hispida",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2005-12-10","Andy Lamb","PMLS","",NA,"","","","",873856,"POR"
